Boroughs,Latitude,Longitude,Prop_Type,Min_Nights,Host_Listing_Cnt,Days_Available,Review_Cnt,Reviews30d,Price
Bronx,40.81229,-73.88887,PrivateRoom,7,6,316,19,0.39,38
Bronx,40.81231,-73.85535,SharedRoom,1,7,365,7,0.13,45
Bronx,40.81234,-73.91688,PrivateRoom,5,3,332,55,2.01,42
Bronx,40.81245,-73.91648,EntireHome,3,3,52,1,0.57,135
Bronx,40.81258,-73.88566,PrivateRoom,1,2,137,15,4.79,40
Bronx,40.81291,-73.90772,PrivateRoom,2,1,230,147,1.99,60
Bronx,40.81305,-73.91655,EntireHome,3,3,59,7,2.36,131
Bronx,40.81309,-73.85367,PrivateRoom,1,7,365,4,0.55,70
Bronx,40.81321,-73.90259,PrivateRoom,3,2,178,2,0.2,100
Bronx,40.81322,-73.91696,PrivateRoom,2,3,336,8,1.07,42
Bronx,40.81331,-73.92765,PrivateRoom,1,2,333,36,6.35,60
Bronx,40.81335,-73.8873,PrivateRoom,30,6,320,15,0.32,40
Bronx,40.81338,-73.85821,EntireHome,2,1,65,7,4.57,75
Bronx,40.8134,-73.89893,PrivateRoom,3,1,87,6,0.24,75
Bronx,40.81377,-73.88933,PrivateRoom,30,6,311,3,0.32,40
Bronx,40.81384,-73.90514,EntireHome,5,1,0,4,0.29,85
Bronx,40.81387,-73.88797,PrivateRoom,30,6,327,13,0.28,35
Bronx,40.81389,-73.88914,PrivateRoom,2,1,365,1,0.14,70
Bronx,40.81395,-73.88675,PrivateRoom,30,6,321,21,0.43,40
Bronx,40.81406,-73.88997,PrivateRoom,4,1,365,36,1.31,65
Bronx,40.81415,-73.88671,PrivateRoom,1,2,89,14,4.42,36
Bronx,40.81437,-73.82774,PrivateRoom,2,3,69,40,2.66,74
Bronx,40.81444,-73.92516,EntireHome,2,2,263,88,1.43,75
Bronx,40.81476,-73.80001,EntireHome,2,1,81,48,2.32,325
Bronx,40.8149,-73.81545,EntireHome,3,1,5,1,0.5,125
Bronx,40.81496,-73.92088,PrivateRoom,1,1,90,1,0.25,60
Bronx,40.81518,-73.84758,EntireHome,3,1,24,34,2.73,62
Bronx,40.81518,-73.82708,PrivateRoom,1,1,329,2,0.28,165
Bronx,40.8156,-73.90075,EntireHome,1,2,264,9,0.7,60
Bronx,40.81587,-73.81532,EntireHome,2,1,65,28,0.89,175
Bronx,40.81611,-73.89909,EntireHome,5,1,59,83,0.96,100
Bronx,40.81629,-73.90945,EntireHome,1,1,9,9,8.44,85
Bronx,40.81632,-73.90991,EntireHome,2,1,36,63,2.15,130
Bronx,40.81639,-73.81954,PrivateRoom,1,1,13,17,1.31,60
Bronx,40.81645,-73.86355,PrivateRoom,3,2,175,11,0.48,40
Bronx,40.81658,-73.88889,PrivateRoom,14,4,348,14,0.42,59
Bronx,40.81668,-73.89988,PrivateRoom,1,2,83,41,2.84,35
Bronx,40.81694,-73.89627,PrivateRoom,1,1,337,8,1.59,60
Bronx,40.81699,-73.86741,PrivateRoom,1,1,88,2,0.09,80
Bronx,40.81712,-73.9209,PrivateRoom,1,1,151,4,1.04,100
Bronx,40.81724,-73.88878,PrivateRoom,14,4,301,3,0.77,60
Bronx,40.81725,-73.90929,PrivateRoom,2,4,328,31,0.79,55
Bronx,40.81728,-73.86343,PrivateRoom,3,2,347,7,0.6,40
Bronx,40.81773,-73.86164,EntireHome,2,1,332,60,1.28,100
Bronx,40.81778,-73.90858,PrivateRoom,2,4,356,64,1.67,60
Bronx,40.81819,-73.88653,EntireHome,2,1,0,5,0.51,150
Bronx,40.81822,-73.90812,PrivateRoom,5,2,169,9,0.8,35
Bronx,40.8183,-73.91938,EntireHome,5,1,33,60,1.46,150
Bronx,40.81841,-73.89067,PrivateRoom,5,4,246,18,0.66,45
Bronx,40.81848,-73.91564,PrivateRoom,10,2,21,1,0.44,29
Bronx,40.81862,-73.8791,SharedRoom,1,1,142,26,1.7,40
Bronx,40.81869,-73.82233,EntireHome,2,1,126,8,4,99
Bronx,40.81879,-73.88646,PrivateRoom,2,2,88,2,1.4,35
Bronx,40.81892,-73.8859,PrivateRoom,2,2,77,7,3.96,35
Bronx,40.81894,-73.91418,PrivateRoom,10,2,0,3,1.61,45
Bronx,40.81906,-73.92806,PrivateRoom,2,2,365,12,0.19,85
Bronx,40.81911,-73.90939,PrivateRoom,2,4,165,80,1.99,60
Bronx,40.81928,-73.90933,PrivateRoom,2,4,278,47,1.19,60
Bronx,40.81935,-73.90772,PrivateRoom,5,2,171,16,0.7,65
Bronx,40.81937,-73.90978,PrivateRoom,2,1,172,70,1.84,45
Bronx,40.81941,-73.92762,EntireHome,2,2,197,104,4.64,69
Bronx,40.81943,-73.90224,PrivateRoom,2,1,0,9,0.61,80
Bronx,40.81949,-73.92913,EntireHome,1,1,259,105,2.85,99
Bronx,40.81952,-73.92844,EntireHome,2,1,219,41,2.98,95
Bronx,40.81954,-73.92715,PrivateRoom,1,2,365,3,0.13,105
Bronx,40.81961,-73.90019,EntireHome,4,1,281,45,2.38,40
Bronx,40.81963,-73.90956,PrivateRoom,1,1,310,10,3.49,55
Bronx,40.81994,-73.88672,EntireHome,2,1,90,3,3,125
Bronx,40.81998,-73.90325,PrivateRoom,2,2,358,114,3.21,75
Bronx,40.82006,-73.90332,PrivateRoom,2,2,349,79,2.36,80
Bronx,40.82023,-73.92844,EntireHome,2,2,210,137,3.15,87
Bronx,40.82093,-73.91279,EntireHome,1,1,209,2,2,105
Bronx,40.82097,-73.92739,EntireHome,2,1,148,82,3.16,145
Bronx,40.8212,-73.92859,EntireHome,3,2,295,42,3.64,80
Bronx,40.82122,-73.92773,PrivateRoom,2,3,46,132,2.56,56
Bronx,40.82132,-73.92884,EntireHome,3,2,205,28,3.53,100
Bronx,40.82138,-73.87603,PrivateRoom,3,1,279,53,0.81,45
Bronx,40.82145,-73.92856,EntireHome,2,2,311,26,2.69,102
Bronx,40.82153,-73.92683,EntireHome,2,1,0,2,0.08,140
Bronx,40.82164,-73.90163,PrivateRoom,3,1,0,2,0.1,65
Bronx,40.82192,-73.91301,PrivateRoom,1,1,358,2,2,50
Bronx,40.82205,-73.9111,EntireHome,2,1,180,5,0.58,74
Bronx,40.82209,-73.90086,PrivateRoom,1,1,285,2,0.27,80
Bronx,40.82226,-73.88906,PrivateRoom,3,1,364,8,0.18,60
Bronx,40.82228,-73.92783,PrivateRoom,1,1,141,34,3.37,45
Bronx,40.82236,-73.90227,PrivateRoom,2,1,187,1,1,80
Bronx,40.82245,-73.90875,EntireHome,2,1,0,19,0.93,110
Bronx,40.82248,-73.89915,PrivateRoom,1,1,310,13,1.15,50
Bronx,40.82257,-73.83773,EntireHome,2,1,64,25,1.86,100
Bronx,40.82276,-73.92682,EntireHome,2,1,225,83,3.89,114
Bronx,40.82286,-73.84765,EntireHome,7,1,323,88,2.73,145
Bronx,40.8229,-73.90295,EntireHome,3,1,0,30,1.14,100
Bronx,40.82296,-73.91429,PrivateRoom,2,1,0,2,0.06,42
Bronx,40.823,-73.90859,EntireHome,1,1,356,110,5.64,60
Bronx,40.82306,-73.90821,EntireHome,1,1,362,53,7.43,75
Bronx,40.82345,-73.9033,EntireHome,1,3,107,193,4.6,89
Bronx,40.82347,-73.89495,PrivateRoom,4,2,25,26,0.82,65
Bronx,40.82374,-73.91555,EntireHome,2,1,0,2,1.11,59
Bronx,40.82381,-73.92725,EntireHome,1,1,0,1,0.02,110
Bronx,40.82388,-73.9279,PrivateRoom,2,2,167,59,1.94,60
Bronx,40.82393,-73.92414,EntireHome,5,1,0,1,0.02,145
Bronx,40.82406,-73.8934,EntireHome,3,1,306,13,0.59,155
Bronx,40.82407,-73.8614,PrivateRoom,2,2,161,25,1.25,49
Bronx,40.82415,-73.92778,PrivateRoom,2,2,105,68,2.15,50
Bronx,40.82417,-73.90156,PrivateRoom,1,2,0,182,3.75,95
Bronx,40.82433,-73.91619,EntireHome,5,1,105,13,2.07,80
Bronx,40.82434,-73.91377,PrivateRoom,2,2,289,87,5.14,40
Bronx,40.82441,-73.90361,PrivateRoom,1,2,0,25,1.27,125
Bronx,40.82441,-73.89454,PrivateRoom,3,2,9,64,2.2,50
Bronx,40.82442,-73.86193,PrivateRoom,2,1,0,6,0.15,45
Bronx,40.82445,-73.90341,PrivateRoom,5,3,3,1,0.08,99
Bronx,40.82453,-73.92563,PrivateRoom,1,1,0,16,0.71,60
Bronx,40.82496,-73.91389,PrivateRoom,2,2,321,59,3.05,45
Bronx,40.82528,-73.86004,PrivateRoom,2,2,172,32,0.5,50
Bronx,40.82603,-73.92312,EntireHome,6,1,0,11,0.28,87
Bronx,40.82617,-73.82073,PrivateRoom,3,3,88,25,1.79,74
Bronx,40.8262,-73.92557,EntireHome,4,1,94,89,2.94,150
Bronx,40.82638,-73.92225,PrivateRoom,1,1,62,48,2.16,55
Bronx,40.8265,-73.87045,EntireHome,2,1,94,24,5.54,103
Bronx,40.82654,-73.90516,PrivateRoom,2,1,64,8,2.7,27
Bronx,40.82661,-73.8571,EntireHome,2,2,165,19,4.04,100
Bronx,40.82668,-73.8822,EntireHome,1,2,0,2,0.1,50
Bronx,40.8267,-73.85704,EntireHome,2,2,135,20,4.2,100
Bronx,40.82671,-73.90643,EntireHome,2,1,134,8,1.97,159
Bronx,40.82674,-73.91935,PrivateRoom,3,1,0,1,0.28,85
Bronx,40.82688,-73.81899,PrivateRoom,7,1,24,11,1.74,55
Bronx,40.82692,-73.92183,PrivateRoom,1,1,168,46,1.5,60
Bronx,40.82696,-73.81927,PrivateRoom,4,3,26,35,2.44,40
Bronx,40.82704,-73.854,EntireHome,2,1,364,4,0.17,250
Bronx,40.82705,-73.91337,PrivateRoom,2,1,173,6,0.14,95
Bronx,40.82716,-73.89911,PrivateRoom,1,1,0,11,0.29,30
Bronx,40.82718,-73.90241,EntireHome,2,1,322,63,6.61,100
Bronx,40.8273,-73.88906,PrivateRoom,1,2,0,7,0.39,37
Bronx,40.82731,-73.91632,PrivateRoom,2,1,0,54,1.29,100
Bronx,40.82754,-73.82124,PrivateRoom,1,2,365,6,3.53,60
Bronx,40.82756,-73.8871,PrivateRoom,1,3,89,7,2.33,70
Bronx,40.82758,-73.88741,SharedRoom,1,3,89,9,2.5,55
Bronx,40.82759,-73.92081,PrivateRoom,1,1,1,6,3.75,65
Bronx,40.82773,-73.92308,PrivateRoom,1,1,177,2,0.23,100
Bronx,40.82776,-73.87643,PrivateRoom,2,2,318,9,3,45
Bronx,40.82778,-73.91516,EntireHome,3,1,261,4,2.31,75
Bronx,40.82794,-73.90412,PrivateRoom,2,1,345,1,0.68,45
Bronx,40.828,-73.81275,EntireHome,3,1,350,7,4.47,100
Bronx,40.82802,-73.92039,PrivateRoom,3,2,274,259,2.69,50
Bronx,40.82804,-73.92289,EntireHome,2,1,72,2,2,101
Bronx,40.82809,-73.9159,EntireHome,4,1,222,111,2.33,65
Bronx,40.82813,-73.90405,EntireHome,2,1,124,49,3.42,110
Bronx,40.82822,-73.92439,EntireHome,3,1,351,121,1.42,250
Bronx,40.82831,-73.88746,PrivateRoom,1,3,89,3,1.58,80
Bronx,40.82848,-73.85466,EntireHome,2,1,266,75,5.49,85
Bronx,40.82855,-73.91856,PrivateRoom,1,2,361,9,0.75,47
Bronx,40.82864,-73.87609,PrivateRoom,2,2,4,7,1.93,45
Bronx,40.82873,-73.89553,EntireHome,1,1,352,146,3.12,120
Bronx,40.82883,-73.88854,EntireHome,4,1,239,51,1.03,119
Bronx,40.82888,-73.9045,PrivateRoom,1,1,87,3,2.37,69
Bronx,40.8289,-73.86219,EntireHome,1,1,337,59,5.55,87
Bronx,40.82936,-73.90867,EntireHome,1,1,177,32,3.47,150
Bronx,40.82939,-73.86514,PrivateRoom,2,3,49,103,2.19,28
Bronx,40.82942,-73.87564,PrivateRoom,2,4,23,91,3.31,60
Bronx,40.82952,-73.82818,PrivateRoom,1,5,361,34,3.02,140
Bronx,40.8296,-73.88971,PrivateRoom,1,3,86,10,1.4,125
Bronx,40.82964,-73.92882,PrivateRoom,3,2,37,17,0.65,60
Bronx,40.82964,-73.91833,PrivateRoom,2,1,145,3,2.81,53
Bronx,40.8298,-73.87715,PrivateRoom,2,4,35,65,2.41,40
Bronx,40.82987,-73.86608,EntireHome,2,1,135,110,3.66,60
Bronx,40.83001,-73.92158,PrivateRoom,5,2,272,235,2.47,50
Bronx,40.83007,-73.92251,PrivateRoom,3,1,65,20,2.14,45
Bronx,40.83011,-73.92084,PrivateRoom,5,1,152,17,0.96,47
Bronx,40.83012,-73.92714,PrivateRoom,2,2,0,12,0.34,41
Bronx,40.83018,-73.83413,PrivateRoom,4,3,152,23,1.17,42
Bronx,40.83022,-73.83286,PrivateRoom,2,1,64,1,0.1,90
Bronx,40.83025,-73.89134,PrivateRoom,1,3,87,1,0.16,70
Bronx,40.83026,-73.89102,EntireHome,1,3,90,27,3.65,200
Bronx,40.83049,-73.87354,SharedRoom,3,2,89,9,0.26,51
Bronx,40.83051,-73.82511,EntireHome,1,1,348,278,10.41,95
Bronx,40.83067,-73.88024,PrivateRoom,1,2,313,14,0.67,35
Bronx,40.83075,-73.93058,PrivateRoom,1,3,337,145,1.5,45
Bronx,40.83079,-73.8815,PrivateRoom,2,2,312,10,0.73,50
Bronx,40.83081,-73.87587,PrivateRoom,2,4,47,76,2.86,45
Bronx,40.83083,-73.91928,PrivateRoom,1,1,180,9,0.7,79
Bronx,40.83086,-73.92025,PrivateRoom,1,3,249,6,0.39,57
Bronx,40.83088,-73.92779,EntireHome,2,1,269,44,2.92,103
Bronx,40.83088,-73.86492,PrivateRoom,2,3,54,28,2.78,42
Bronx,40.83093,-73.85719,PrivateRoom,1,1,364,82,1.72,60
Bronx,40.83099,-73.86951,PrivateRoom,2,1,0,11,1.92,35
Bronx,40.83108,-73.82951,PrivateRoom,1,5,365,11,1.99,50
Bronx,40.83112,-73.87319,PrivateRoom,3,2,0,25,0.71,49
Bronx,40.83117,-73.87566,PrivateRoom,2,4,33,74,2.72,43
Bronx,40.83121,-73.8483,EntireHome,2,2,344,1,0.05,450
Bronx,40.83123,-73.82784,PrivateRoom,1,5,176,2,0.94,60
Bronx,40.83139,-73.90166,PrivateRoom,2,1,68,20,1.3,23
Bronx,40.83144,-73.86639,PrivateRoom,2,3,218,11,1.16,38
Bronx,40.83144,-73.82791,PrivateRoom,1,5,174,6,2.61,60
Bronx,40.83148,-73.82931,PrivateRoom,1,5,365,28,2.43,65
Bronx,40.8315,-73.92277,EntireHome,3,1,17,3,1.96,60
Bronx,40.8315,-73.92047,PrivateRoom,1,1,83,16,0.94,54
Bronx,40.83159,-73.83375,PrivateRoom,4,3,140,38,1.42,38
Bronx,40.83161,-73.91958,EntireHome,4,1,346,7,0.36,150
Bronx,40.83163,-73.93077,PrivateRoom,1,1,1,1,0.64,80
Bronx,40.83166,-73.81747,EntireHome,1,1,307,196,5.13,89
Bronx,40.83173,-73.92824,PrivateRoom,1,1,132,135,4.58,75
Bronx,40.83193,-73.92223,PrivateRoom,1,2,291,30,2.36,40
Bronx,40.83197,-73.9212,PrivateRoom,1,2,300,4,1.21,45
Bronx,40.83201,-73.89996,EntireHome,2,1,24,3,0.25,140
Bronx,40.83206,-73.91969,SharedRoom,1,1,0,2,0.09,60
Bronx,40.83211,-73.92052,PrivateRoom,1,1,364,33,0.85,49
Bronx,40.83212,-73.93054,PrivateRoom,1,3,353,60,1.15,60
Bronx,40.83216,-73.91598,PrivateRoom,3,1,178,3,0.36,70
Bronx,40.83217,-73.93148,PrivateRoom,5,1,80,17,2.1,45
Bronx,40.83218,-73.91951,PrivateRoom,1,1,104,62,3.64,47
Bronx,40.83224,-73.92068,PrivateRoom,5,1,217,6,0.48,38
Bronx,40.83232,-73.93184,PrivateRoom,1,3,345,223,2.06,40
Bronx,40.83243,-73.92035,PrivateRoom,1,3,263,12,0.44,40
Bronx,40.83243,-73.88608,PrivateRoom,2,4,173,63,2.61,55
Bronx,40.83245,-73.92163,EntireHome,2,2,333,74,1.95,67
Bronx,40.83248,-73.83203,PrivateRoom,4,3,154,45,1.66,46
Bronx,40.8325,-73.92206,EntireHome,2,2,292,38,1.78,65
Bronx,40.83285,-73.92158,PrivateRoom,1,1,175,47,3.7,45
Bronx,40.83285,-73.8879,EntireHome,1,1,279,23,2.26,60
Bronx,40.83288,-73.91834,PrivateRoom,1,3,230,21,0.35,50
Bronx,40.8329,-73.89608,PrivateRoom,5,1,170,5,0.19,60
Bronx,40.83296,-73.88668,PrivateRoom,2,4,119,57,2.53,55
Bronx,40.83311,-73.9116,PrivateRoom,2,1,0,2,0.26,34
Bronx,40.83331,-73.91742,EntireHome,30,1,358,1,0.04,90
Bronx,40.83336,-73.88636,PrivateRoom,2,4,359,71,2.88,75
Bronx,40.83351,-73.93033,PrivateRoom,2,1,256,1,1,65
Bronx,40.83372,-73.91187,PrivateRoom,2,2,86,1,1,70
Bronx,40.83373,-73.91147,EntireHome,1,1,249,111,5.67,140
Bronx,40.83384,-73.8863,PrivateRoom,2,4,339,96,3.87,65
Bronx,40.83408,-73.87419,PrivateRoom,3,2,218,28,1.3,30
Bronx,40.83409,-73.91275,EntireHome,4,1,34,11,1.04,76
Bronx,40.83413,-73.92918,PrivateRoom,3,1,217,23,1.53,50
Bronx,40.83413,-73.91669,PrivateRoom,1,1,86,15,3.1,35
Bronx,40.83439,-73.8585,PrivateRoom,2,1,0,9,0.45,300
Bronx,40.83452,-73.93143,PrivateRoom,2,3,24,32,1.95,80
Bronx,40.83464,-73.92505,PrivateRoom,2,1,362,2,0.15,70
Bronx,40.83485,-73.85954,EntireHome,5,1,311,2,0.37,93
Bronx,40.83488,-73.91988,PrivateRoom,2,1,0,3,0.48,45
Bronx,40.8349,-73.85259,PrivateRoom,3,1,77,1,0.73,40
Bronx,40.83497,-73.9189,PrivateRoom,5,1,37,34,1.7,35
Bronx,40.83499,-73.91003,PrivateRoom,3,1,116,19,2.29,75
Bronx,40.835,-73.91114,PrivateRoom,4,2,174,30,1.32,60
Bronx,40.83513,-73.91797,PrivateRoom,1,1,90,2,0.28,99
Bronx,40.83513,-73.91093,PrivateRoom,2,2,66,15,5.77,50
Bronx,40.83516,-73.86024,EntireHome,7,4,362,1,0.67,85
Bronx,40.8355,-73.83729,EntireHome,2,1,24,119,3.18,71
Bronx,40.83555,-73.8757,PrivateRoom,3,2,120,39,1.78,30
Bronx,40.83556,-73.91098,PrivateRoom,4,2,66,43,1.82,70
Bronx,40.8356,-73.83369,PrivateRoom,1,5,248,27,6.98,150
Bronx,40.8358,-73.85833,SharedRoom,2,2,0,4,0.36,65
Bronx,40.83581,-73.85864,PrivateRoom,2,2,0,3,0.27,65
Bronx,40.83588,-73.85819,EntireHome,5,1,57,1,1,69
Bronx,40.83593,-73.93004,PrivateRoom,2,3,25,29,1.71,80
Bronx,40.83604,-73.93099,EntireHome,1,3,272,26,1.56,240
Bronx,40.83616,-73.84638,EntireHome,1,1,342,10,4.41,75
Bronx,40.83619,-73.84916,PrivateRoom,4,1,0,1,0.18,52
Bronx,40.83645,-73.86634,EntireHome,5,1,0,1,0.02,195
Bronx,40.83647,-73.83491,PrivateRoom,2,5,169,7,1.93,65
Bronx,40.83648,-73.85812,PrivateRoom,1,2,351,123,3.11,59
Bronx,40.83651,-73.92269,EntireHome,2,1,161,19,3.22,74
Bronx,40.83653,-73.914,PrivateRoom,1,2,173,2,2,70
Bronx,40.83658,-73.86181,PrivateRoom,1,1,334,33,2.8,55
Bronx,40.83659,-73.91777,PrivateRoom,1,2,4,1,0.1,40
Bronx,40.83688,-73.85584,PrivateRoom,2,1,0,6,0.41,80
Bronx,40.83702,-73.88719,SharedRoom,1,1,7,1,1,52
Bronx,40.83703,-73.91643,PrivateRoom,2,2,99,36,3.17,40
Bronx,40.83703,-73.85648,PrivateRoom,2,2,169,63,1.75,75
Bronx,40.83715,-73.83489,PrivateRoom,1,5,359,22,6.06,60
Bronx,40.83717,-73.85738,SharedRoom,1,1,82,1,1,36
Bronx,40.83719,-73.92015,PrivateRoom,1,1,339,9,0.18,85
Bronx,40.8372,-73.84345,EntireHome,2,2,134,71,3.03,70
Bronx,40.83724,-73.91387,PrivateRoom,1,2,358,1,1,75
Bronx,40.83729,-73.83323,PrivateRoom,1,5,354,2,0.18,69
Bronx,40.83735,-73.85997,EntireHome,3,1,359,30,0.67,139
Bronx,40.83736,-73.92318,PrivateRoom,3,1,17,16,0.43,22
Bronx,40.83739,-73.91118,PrivateRoom,1,1,1,20,1.88,26
Bronx,40.83746,-73.92268,PrivateRoom,4,2,0,51,1.09,59
Bronx,40.83757,-73.8353,PrivateRoom,1,5,188,18,5.63,62
Bronx,40.83758,-73.85804,PrivateRoom,1,2,176,5,1.61,47
Bronx,40.83758,-73.84382,EntireHome,2,2,0,39,1.63,72
Bronx,40.83791,-73.85845,PrivateRoom,1,2,341,14,1.14,26
Bronx,40.83792,-73.85526,EntireHome,1,1,39,13,4.81,125
